2023-05-17 02:17:15.422684: iter: [17/30], train_loss: -2.554948, valid_loss: -0.885018
2023-05-17 02:49:59.018319: iter: [18/30], train_loss: -2.846532, valid_loss: -1.404285
2023-05-17 03:22:47.059358: iter: [19/30], train_loss: -3.072026, valid_loss: -1.151808
2023-05-17 03:55:21.885648: iter: [20/30], train_loss: -3.349188, valid_loss: -1.470300
2023-05-17 04:28:21.325444: iter: [21/30], train_loss: -3.666758, valid_loss: -1.675512
2023-05-17 05:01:15.517371: iter: [22/30], train_loss: -3.960623, valid_loss: -2.139397
2023-05-17 05:34:07.897286: iter: [23/30], train_loss: -4.266112, valid_loss: -2.302402
2023-05-17 06:06:57.704540: iter: [24/30], train_loss: -4.562976, valid_loss: -2.487949
2023-05-17 06:39:54.486053: iter: [25/30], train_loss: -4.925282, valid_loss: -2.659217
2023-05-17 07:12:40.425357: iter: [26/30], train_loss: -5.211991, valid_loss: -2.820095
2023-05-17 07:45:31.636424: iter: [27/30], train_loss: -5.529087, valid_loss: -2.983295
2023-05-17 08:17:17.553977: iter: [28/30], train_loss: -5.860308, valid_loss: -3.155679
2023-05-17 08:49:31.253145: iter: [29/30], train_loss: -6.208095, valid_loss: -3.170439
2023-05-17 09:22:22.575723: iter: [30/30], train_loss: -6.556195, valid_loss: -3.449296
2023-05-18 22:39:06.451694: iter: [1/20], train_loss: 0.363664, valid_loss: 0.283340
2023-05-18 22:47:36.258149: iter: [2/20], train_loss: 0.217687, valid_loss: 0.201125
2023-05-18 22:56:20.400185: iter: [3/20], train_loss: 0.102163, valid_loss: 0.132569
2023-05-18 23:04:53.778175: iter: [4/20], train_loss: -0.030140, valid_loss: 0.045759
2023-05-18 23:15:38.080736: iter: [5/20], train_loss: -0.177674, valid_loss: -0.037321
2023-05-18 23:51:30.760043: iter: [6/20], train_loss: -0.327415, valid_loss: -0.091402
2023-05-19 00:31:55.023804: iter: [7/20], train_loss: -0.483214, valid_loss: -0.116797
2023-05-19 01:10:50.400246: iter: [8/20], train_loss: -0.637140, valid_loss: 0.075534
2023-05-19 01:52:22.227557: iter: [9/20], train_loss: -0.814027, valid_loss: 0.697222
2023-05-19 02:30:22.972748: iter: [10/20], train_loss: -0.981419, valid_loss: 1.187711
2023-05-19 03:09:51.586720: iter: [11/20], train_loss: -1.174719, valid_loss: 1.116593
2023-05-19 03:55:38.108327: iter: [12/20], train_loss: -1.352611, valid_loss: 2.713874
2023-05-19 04:38:12.574285: iter: [13/20], train_loss: -1.577883, valid_loss: 1.826106
2023-05-19 05:23:12.665502: iter: [14/20], train_loss: -1.758533, valid_loss: 1.402378
2023-05-19 06:08:23.419724: iter: [15/20], train_loss: -1.998493, valid_loss: 1.745407
2023-05-19 06:55:00.402956: iter: [16/20], train_loss: -2.236934, valid_loss: 0.163482
2023-05-19 07:41:50.526282: iter: [17/20], train_loss: -2.445950, valid_loss: -0.421944
2023-05-19 08:26:13.878400: iter: [18/20], train_loss: -2.680939, valid_loss: -0.495372
2023-05-19 09:13:11.244255: iter: [19/20], train_loss: -2.957992, valid_loss: -1.179761
2023-05-19 10:00:35.987847: iter: [20/20], train_loss: -3.203671, valid_loss: -1.337151
2023-05-19 12:36:31.515995: iter: [1/10], train_loss: 0.369596, valid_loss: 0.275646
2023-05-19 12:44:51.413528: iter: [2/10], train_loss: 0.195575, valid_loss: 0.181609
2023-05-19 12:53:07.684625: iter: [3/10], train_loss: 0.068201, valid_loss: 0.104023
2023-05-19 13:01:23.727420: iter: [4/10], train_loss: -0.077367, valid_loss: 0.006199
2023-05-19 13:09:40.237151: iter: [5/10], train_loss: -0.212961, valid_loss: -0.059961
2023-05-19 13:17:56.872436: iter: [6/10], train_loss: -0.358603, valid_loss: -0.162934
2023-05-19 13:26:13.211927: iter: [7/10], train_loss: -0.520557, valid_loss: -0.234058
2023-05-19 13:34:29.465277: iter: [8/10], train_loss: -0.690098, valid_loss: -0.259244
2023-05-19 13:42:45.790484: iter: [9/10], train_loss: -0.863248, valid_loss: -0.220477
2023-05-19 13:51:00.504958: iter: [10/10], train_loss: -1.042067, valid_loss: -0.302692
2023-05-19 18:56:04.125385: iter: [1/20], train_loss: 0.163081, valid_loss: 0.158856
2023-05-19 19:55:30.789755: iter: [2/20], train_loss: 0.131710, valid_loss: 0.152042
2023-05-19 20:52:22.169221: iter: [3/20], train_loss: 0.115300, valid_loss: 0.152144
2023-05-20 10:04:15.491090: iter: [1/20], train_loss: 0.165201, valid_loss: 0.207899
2023-05-20 10:13:57.348547: iter: [2/20], train_loss: 0.134354, valid_loss: 0.157236
2023-05-20 10:54:56.625846: iter: [3/20], train_loss: 0.118620, valid_loss: 0.171695
2023-05-20 11:05:04.348595: iter: [4/20], train_loss: 0.106154, valid_loss: 0.204117
2023-05-20 11:18:41.447344: iter: [5/20], train_loss: 0.090768, valid_loss: 0.202958
2023-05-20 12:05:09.624140: iter: [6/20], train_loss: 0.080379, valid_loss: 0.158877
2023-05-21 14:42:41.823651: iter: [1/20], train_loss: 0.172526, valid_loss: 0.163468
2023-05-21 15:30:13.064085: iter: [2/20], train_loss: 0.137191, valid_loss: 0.156555
2023-05-21 16:17:19.519965: iter: [3/20], train_loss: 0.125611, valid_loss: 0.154197
2023-05-21 17:04:37.353463: iter: [4/20], train_loss: 0.118313, valid_loss: 0.144717
2023-05-21 17:52:05.208792: iter: [5/20], train_loss: 0.109688, valid_loss: 0.131420
2023-05-21 18:39:42.055538: iter: [6/20], train_loss: 0.093778, valid_loss: 0.122737
2023-05-21 19:27:05.122975: iter: [7/20], train_loss: 0.085545, valid_loss: 0.121373
2023-05-21 20:14:20.546127: iter: [8/20], train_loss: 0.078684, valid_loss: 0.123175
2023-05-21 21:01:37.032244: iter: [9/20], train_loss: 0.073356, valid_loss: 0.137900
2023-05-21 21:48:28.266476: iter: [10/20], train_loss: 0.070498, valid_loss: 0.282078
2023-05-21 22:35:43.938458: iter: [11/20], train_loss: 0.066632, valid_loss: 0.238167
2023-05-21 23:22:12.235278: iter: [12/20], train_loss: 0.064168, valid_loss: 0.261864
2023-05-22 00:09:02.042249: iter: [13/20], train_loss: 0.062469, valid_loss: 0.291672
2023-05-22 00:55:55.887432: iter: [14/20], train_loss: 0.060255, valid_loss: 0.252415
2023-05-22 01:42:39.946726: iter: [15/20], train_loss: 0.058131, valid_loss: 0.166842
2023-05-22 02:27:20.268166: iter: [16/20], train_loss: 0.057865, valid_loss: 0.146422
2023-05-22 03:14:19.935696: iter: [17/20], train_loss: 0.056954, valid_loss: 0.155579
2023-05-22 04:00:48.783018: iter: [18/20], train_loss: 0.055338, valid_loss: 0.140607
2023-05-22 04:47:58.188399: iter: [19/20], train_loss: 0.054907, valid_loss: 0.138836
2023-05-22 05:34:52.787252: iter: [20/20], train_loss: 0.054626, valid_loss: 0.140534
2023-05-22 11:35:13.790949: iter: [1/20], train_loss: 0.470029, valid_loss: 0.262241
2023-05-22 11:59:15.954281: iter: [2/20], train_loss: 0.167417, valid_loss: -0.016057
2023-05-22 12:23:28.262917: iter: [3/20], train_loss: -0.029591, valid_loss: -0.151430
2023-05-22 12:47:29.182729: iter: [4/20], train_loss: -0.205069, valid_loss: -0.239531
2023-05-22 13:11:21.123100: iter: [5/20], train_loss: -0.371604, valid_loss: -0.381720
2023-05-22 13:35:34.314844: iter: [6/20], train_loss: -0.516042, valid_loss: -0.497364
2023-05-22 13:59:35.737439: iter: [7/20], train_loss: -0.665554, valid_loss: -0.595286
2023-05-22 14:23:30.051360: iter: [8/20], train_loss: -0.805236, valid_loss: -0.718545
2023-05-22 14:47:27.844481: iter: [9/20], train_loss: -0.927589, valid_loss: -0.817524
2023-05-22 15:11:38.091445: iter: [10/20], train_loss: -1.076395, valid_loss: -0.900332
2023-05-22 15:35:53.405786: iter: [11/20], train_loss: -1.219781, valid_loss: -1.074958
2023-05-22 16:00:02.034656: iter: [12/20], train_loss: -1.346166, valid_loss: -1.198440
2023-05-22 16:24:52.414561: iter: [13/20], train_loss: -1.472261, valid_loss: -1.309240
2023-05-22 16:49:30.040688: iter: [14/20], train_loss: -1.618121, valid_loss: -1.430412
